3
4 3
5 4 4
6 4 5 5
7 4 5 6 6
8 4 6 7 7 7
9 5 7 8 8 8 8
10 5 8 8 9 9 9 9
11 6 8 9 9 10 10 10 10
12 6 8 10 10 11 11 11 11 11
13 7 9 11 11 12 12 12 12 12 12
14 8 9 12 12 12 13 13 13 13 13 13
15 8 10 12 13 13 13 14 14 14 14 14 14
16 8 10 13 13 14 14 15 15 15 15 15 15 15
17 8 11 14 14 15 15 16 16 16 16 16 16 16 16
18 8 11 15 15 16 16 16 17 17 17 17 17 17 17
19 8 12 16 16 17 17 17 17 18 18 18 18 18 18
20 9 12 16 17 18 18 18 18 19 19 19 19 19 19
21 9 13 16 17 18 19 19 19 20 20 20 20 20 20
22 9 13 16 18 19 19 20 20 20 21 21 21 21 21
23 9 14 16 19 20 20 21 21 21 21 22 22 22 22
24 10 14 17 20 21 21 22 22 22 22 23 23 23 23
25 10 15 18 21 22 22 22 23 23 23 24 24 24 24
26 11 15 18 22 23 23 23 24 24 24 24 25 25 25
27 11 16 19 22 24 24 24 25 25 25 25 25 26 26
28 11 17 20 22 24 25 25 26 26 26 26 26 27 27
29 11 17 21 23 25 25 26 26 27 27 27 27 28 28
30 12 18 21 23 26 26 27 27 28 28 28 28 28 29
31 12 18 22 23 27 27 28 28 29 29 29 29 29 29
32 13 18 22 24 28 28 28 29 30 30 30 30 30 30
33 13 19 23 25 29 29 29 30 30 31 31 31 31 31
34 13 20 24 25 30 30 30 30 31 31 32 32 32 32
35 13 20 24 26 30 31 31 31 32 32 33 33 33 33
36 14 20 25 27 31 31 32 32 33 33 34 34 34 34
37 14 21 26 28 32 32 33 33 34 34 35 35 35 35
38 14 21 27 28 33 33 34 34 35 35 36 36 36 36
39 14 21 28 29 34 34 34 35 36 36 36 37 37 37
40 15 22 28 30 35 35 35 36 37 37 37 37 38 38
41 16 22 29 31 36 36 36 36 38 38 38 38 39 39
42 16 22 30 31 36 37 37 37 39 39 39 39 40 40
43 16 23 31 31 36 37 38 38 40 40 40 40 40 41
44 16 23 32 32 36 38 39 39 40 41 41 41 41 42
45 16 24 32 33 36 39 40 40 41 41 42 42 42 43
46 16 24 32 34 37 40 40 41 42 42 43 43 43 44
47 16 24 32 34 37 41 41 42 43 43 44 44 44 44
48 16 25 32 35 38 42 42 42 44 44 45 45 45 45
49 16 25 33 36 38 43 43 43 45 45 46 46 46 46
50 16 26 33 37 39 44 44 44 46 46 47 47 47 47
